name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san francisco,2015-06-25,25.2,13.8,19.1,25.2,13.8,19.1,11.9,64.2,0,0,0,,,,,25.6,312.2,1012.2,7.7,15.9,359.4,31.1,10,,2015-06-25T05:49:08,2015-06-25T20:35:29,0.3,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-06-26,22.6,14.3,18.1,22.6,14.3,18.1,12.8,72,0,0,0,,,,40.7,31.5,309.9,1013.1,30.2,15.8,356.3,30.7,10,,2015-06-26T05:49:27,2015-06-26T20:35:34,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-06-27,23.3,14.6,18.4,23.3,14.6,18.4,12.9,70.9,0,0,0,,,,29.5,23.1,289.3,1015.3,74.9,16,165,14.2,6,,2015-06-27T05:49:49,2015-06-27T20:35:37,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-06-28,21.6,16,18.3,21.6,16,18.3,13.2,73.1,0,0,0,,,,44.6,31.8,284.2,1015.8,79.5,16,342.3,29.4,10,,2015-06-28T05:50:11,2015-06-28T20:35:38,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-06-29,21.4,14.1,17,21.4,14.1,17,12.4,74.9,0,0,0,,,,55.4,30.1,278,1015.5,62.1,16,348.7,30.1,10,,2015-06-29T05:50:35,2015-06-29T20:35:37,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-06-30,26.3,13.5,18.9,26.3,13.5,18.9,12.9,70.2,0,0,0,,,,,27,299.3,1011.7,53.8,16,291.4,25.3,9,,2015-06-30T05:51:01,2015-06-30T20:35:34,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-01,23.5,14.5,18.7,23.5,14.5,18.7,13.2,71.9,0,0,0,,,,51.9,31.5,302.4,1011.9,61.5,16,201.9,17.4,7,,2015-07-01T05:51:27,2015-07-01T20:35:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-02,22,15.6,18,22,15.6,18,13.9,77.4,0,0,0,,,,,28.5,311.8,1013.8,73.4,16,215.4,18.6,7,,2015-07-02T05:51:55,2015-07-02T20:35:22,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-03,22.7,15.4,18.1,22.7,15.4,18.1,14,78,0,0,0,,,,50,32.7,302.5,1013.3,56.6,16,281.6,24.4,9,,2015-07-03T05:52:24,2015-07-03T20:35:14,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-04,21.3,15.2,17.8,21.3,15.2,17.8,13.8,78.6,0,0,0,,,,51.8,34.2,301,1011.6,59.6,16,355.8,30.6,10,,2015-07-04T05:52:55,2015-07-04T20:35:04,0.54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
